id,originalName,technology,tag,standard
3080,Avoid undocumented Pages,ASP,** missing tag **,** missing standard **
3082,Avoid ASP pages having a very low Comment/Code ratio,ASP,** missing tag **,** missing standard **
3088,Avoid large Page files,ASP,** missing tag **,** missing standard **
3102,Avoid using Transactions in an ASP Page,ASP,** missing tag **,** missing standard **
3148,An include file must contain at most one Class definition,C++,** missing tag **,** missing standard **
3550,Namespace naming convention - case control,"C#, etc.",** missing tag **,** missing standard **
3554,Interface naming convention - case and character set control,"C#, etc.",** missing tag **,** missing standard **
3558,Enumerations naming convention - case and character set control,"C#, etc.",** missing tag **,** missing standard **
3560,Enumeration Items naming convention - case and character set control,"C#, etc.",** missing tag **,** missing standard **
3562,Private Fields naming convention - case and character set control,"C#, etc.",** missing tag **,** missing standard **
3564,Public Fields naming convention - case and character set control,"C#, etc.",** missing tag **,** missing standard **
3566,Methods naming convention - case and character set control,"C#, etc.",** missing tag **,** missing standard **
3568,Events naming convention - case and character set control,"C#, etc.",** missing tag **,** missing standard **
3570,Avoid using Keywords as names,"C#, etc.",** missing tag **,** missing standard **
3572,"Controls naming convention - prefix, case and character set control","C#, etc.",** missing tag **,** missing standard **
3574,Properties naming convention - case and character set control,"C#, etc.",** missing tag **,** missing standard **
3576,Avoid declaring public Fields,"C#, etc.",ASCMM-MNT-15,CISQ
3578,Avoid large Classes - too many Constructors,"C#, etc.",** missing tag **,** missing standard **
3580,Avoid large Classes - too many Methods,"C#, etc.",** missing tag **,** missing standard **
3586,Avoid large Methods - too many Lines of Code,"C#, etc.",** missing tag **,** missing standard **
3590,Avoid Interface implementation on Structures,"C#, etc.",** missing tag **,** missing standard **
3610,Avoid declaring VB Variables without typing them,"VB.NET, etc.",** missing tag **,** missing standard **
3612,Close SQL connection ASAP,"C#, etc.",ASCPEM-PRF-15,CISQ
3612,Close SQL connection ASAP,"C#, etc.",ASCRM-CWE-772,CISQ
3614,Avoid using String.Empty for empty string tests,"C#, etc.",** missing tag **,** missing standard **
3616,Data Access must be based on Stored Procedure Calls,"C#, etc.",** missing tag **,** missing standard **
3616,Data Access must be based on Stored Procedure Calls,"C#,VB .Net",AIP-GDPR,AIP
3626,Avoid Interfaces with a very low comment/code ratio,"C#, etc.",** missing tag **,** missing standard **
3630,Avoid having Classes implementing too many Interfaces,"C#, etc.",** missing tag **,** missing standard **
4056,Avoid recursive Triggers,"SQL Server, etc.",** missing tag **,** missing standard **
4058,Avoid queries using old style join convention instead of ANSI-Standard joins,SQL Server,** missing tag **,** missing standard **
4062,"Avoid Functions and Procedures doing an Insert, Update or Delete without managing a transaction","SQL Server, etc.",** missing tag **,** missing standard **
4064,"Avoid Procedures using an Insert, Update, Delete, Create Table or Select without including error management","SQL Server, etc.",** missing tag **,** missing standard **
4066,Avoid Stored Procedures not returning a status value,"SQL Server, etc.",** missing tag **,** missing standard **
4070,"Avoid use of ""truncate table""","SQL Server, etc.",** missing tag **,** missing standard **
4076,Avoid using temporary Objects,"SQL Server, etc.",** missing tag **,** missing standard **
4084,Avoid nested Stored Procedures using temporary Tables,"SQL Server, etc.",** missing tag **,** missing standard **
4554,Avoid large Classes - too many Methods,JEE,** missing tag **,** missing standard **
4556,Avoid large Classes - too many Constructors,JEE,** missing tag **,** missing standard **
4558,Avoid large Classes - too many Fields,JEE,** missing tag **,** missing standard **
4560,Avoid large Interfaces - too many Methods,JEE,** missing tag **,** missing standard **
4566,Avoid declaring Instance Variables without defined access type,JEE,** missing tag **,** missing standard **
4568,Avoid declaring Public Instance Variables,JEE,** missing tag **,** missing standard **
4570,Avoid declaring Non Final Class Variables with Public or Package access type,JEE,** missing tag **,** missing standard **
4572,Avoid declaring Final Instance Variables that are not dynamically initialized,JEE,** missing tag **,** missing standard **
4574,Avoid using deprecated objects,JEE,** missing tag **,** missing standard **
4576,Provide accessors to Private Fields,JEE,** missing tag **,** missing standard **
4578,Good use of Interfaces with collections as Method return types,JEE,** missing tag **,** missing standard **
4580,Good use of Interfaces when instantiating a collection,JEE,** missing tag **,** missing standard **
4592,Avoid hiding static Methods,JEE,** missing tag **,** missing standard **
4594,Avoid using 'java.io.File',JEE,** missing tag **,** missing standard **
4596,Avoid using 'java.lang.System.getenv()',JEE,** missing tag **,** missing standard **
4598,Avoid using 'java.lang.Runtime.exec()',JEE,A1-2013,OWASP
4598,Avoid using 'java.lang.Runtime.exec()',JEE,A1-2017,OWASP
4598,Avoid using 'java.lang.Runtime.exec()',JEE,ASCSM-CWE-78,CISQ
4598,Avoid using 'java.lang.Runtime.exec()',JEE,COMMAND-INJECTION,AIP
4600,Avoid using 'java.System.exit()',JEE,** missing tag **,** missing standard **
4602,Avoid using Fields (non static final) from other Classes,JEE,** missing tag **,** missing standard **
4604,Avoid using 'java.lang.Error',JEE,** missing tag **,** missing standard **
4606,Avoid using 'sun.*' Classes,JEE,** missing tag **,** missing standard **
4610,Avoid using anonymous Classes,JEE,** missing tag **,** missing standard **
4612,Avoid using native Methods (JNI),JEE,CWE-111,CWE
4614,Proper overriding of 'clone()',JEE,CWE-580,CWE
4616,Proper overriding of 'finalize()',JEE,** missing tag **,** missing standard **
4618,Avoid instantiating Boolean,JEE,** missing tag **,** missing standard **
4652,Avoid direct Class inheritance from java.lang.Throwable,JEE,** missing tag **,** missing standard **
4656,Avoid declaring throwing an exception and not throwing it,JEE,ASCSM-CWE-397,CISQ
4666,Classes and Interfaces must have JavaDoc Comments,JEE,** missing tag **,** missing standard **
4668,Classes and Interfaces must have JavaDoc @author tag,JEE,** missing tag **,** missing standard **
4670,Methods must have JavaDoc comments,JEE,** missing tag **,** missing standard **
4672,Methods must have appropriate JavaDoc @param tags,JEE,** missing tag **,** missing standard **
4674,Methods must have appropriate JavaDoc @return tags,JEE,** missing tag **,** missing standard **
4676,Methods must have appropriate JavaDoc @throws tags,JEE,** missing tag **,** missing standard **
4678,Methods must have appropriate JavaDoc @exception tags,JEE,** missing tag **,** missing standard **
4680,Fields must have JavaDoc Comments,JEE,** missing tag **,** missing standard **
4694,Avoid using 'System.gc',JEE,** missing tag **,** missing standard **
4696,Avoid using 'System.err' and 'System.out' within a try catch block,JEE,ASCRM-CWE-396,CISQ
4698,Avoid using 'System.err' and 'System.out' outside a try catch block,JEE,ASCRM-CWE-396,CISQ
4700,Avoid using 'Throwable.printStackTrace()' within a try catch block,JEE,ASCRM-CWE-396,CISQ
4702,Avoid using 'Throwable.printStackTrace()' outside a try catch block,JEE,ASCRM-CWE-396,CISQ
4704,Avoid using Vector,JEE,** missing tag **,** missing standard **
4706,Avoid using Hashtable,JEE,** missing tag **,** missing standard **
4708,Avoid using Dynamic instantiation,JEE,** missing tag **,** missing standard **
4712,Avoid inheritance down the Package path,JEE,** missing tag **,** missing standard **
4716,Avoid Classes implementing too many Interfaces,JEE,** missing tag **,** missing standard **
4718,Package size control,JEE,** missing tag **,** missing standard **
4722,Track Classes referencing Database objects,JEE,** missing tag **,** missing standard **
4730,Package naming convention - case control,JEE,** missing tag **,** missing standard **
4732,Interface naming convention - case control,JEE,** missing tag **,** missing standard **
4734,Class naming convention - case control,JEE,** missing tag **,** missing standard **
4736,Method naming convention - case control,JEE,** missing tag **,** missing standard **
4738,Constant naming convention - case control,JEE,** missing tag **,** missing standard **
4740,Field naming convention - case control,JEE,** missing tag **,** missing standard **
4744,EJB Entity access through their local Interface,JEE,** missing tag **,** missing standard **
4746,EJB Session access through their local Interface,JEE,** missing tag **,** missing standard **
5050,Avoid using HANDLE CONDITION,Cobol,** missing tag **,** missing standard **
5052,Avoid using IGNORE CONDITION,Cobol,** missing tag **,** missing standard **
5054,Avoid using HANDLE ABEND,Cobol,** missing tag **,** missing standard **
5056,Avoid using SEARCH without the ALL addition,Cobol,** missing tag **,** missing standard **
5058,Avoid using SORT,Cobol,** missing tag **,** missing standard **
5060,Avoid using MERGE,Cobol,** missing tag **,** missing standard **
5062,Avoid using ALTER,Cobol,** missing tag **,** missing standard **
5064,Program naming convention - prefix control,Cobol,** missing tag **,** missing standard **
5066,Avoid using PERFORM ... THROUGH | THRU,Cobol,** missing tag **,** missing standard **
5068,Avoid STOP RUN (use GOBACK instead),Cobol,** missing tag **,** missing standard **
5070,Section naming convention - prefix control,Cobol,** missing tag **,** missing standard **
5072,Avoid DISPLAY ... UPON CONSOLE,Cobol,** missing tag **,** missing standard **
5074,Paragraph naming convention - prefix control,Cobol,** missing tag **,** missing standard **
5080,Avoid Procedure Paragraphs that contains no statements,Cobol,** missing tag **,** missing standard **
5082,Avoid Procedure Sections that contain no Paragraph,Cobol,** missing tag **,** missing standard **
5086,Avoid using Sections in the PROCEDURE DIVISION (use Paragraphs only),Cobol,** missing tag **,** missing standard **
5090,Avoid using NEXT SENTENCE,Cobol,** missing tag **,** missing standard **
5092,Include a WHEN OTHER clause when using EVALUATE,Cobol,** missing tag **,** missing standard **
5094,Avoid using MOVE CORRESPONDING ... TO ...,Cobol,** missing tag **,** missing standard **
5100,Avoid large Sections - too many Lines of Code,Cobol,** missing tag **,** missing standard **
5104,Avoid large Programs - too many Sections,Cobol,** missing tag **,** missing standard **
5108,Avoid Sections with a very low comment/code ratio,Cobol,** missing tag **,** missing standard **
5110,Avoid Programs with a very low comment/code ratio,Cobol,** missing tag **,** missing standard **
5112,Avoid undocumented Sections,Cobol,** missing tag **,** missing standard **
5114,Avoid undocumented Programs,Cobol,** missing tag **,** missing standard **
5116,Avoid undocumented Paragraphs,Cobol,** missing tag **,** missing standard **
5138,Avoid Programs with lines of more than 80 characters,Cobol,** missing tag **,** missing standard **
5144,Avoid using GOTO statement,Cobol,ASCMM-MNT-1,CISQ
5550,Avoid having joins with more than 4 Tables,Forms,** missing tag **,** missing standard **
5554,"Avoid having SQL code in Triggers named ""pre-record""",Forms,** missing tag **,** missing standard **
5558,Based Data Blocks naming convention - represented table,Forms,** missing tag **,** missing standard **
5560,Based Data Block Items naming convention - represented column,Forms,** missing tag **,** missing standard **
5562,Not Based Data Blocks naming convention - prefix control,Forms,** missing tag **,** missing standard **
5564,Not Based Data Block Items naming convention - prefix control,Forms,** missing tag **,** missing standard **
5566,Use of call_form built-in Function from a centralized location,Forms,** missing tag **,** missing standard **
5572,Avoid objects without COMMENT property,Forms,** missing tag **,** missing standard **
6050,Datawindow naming convention,PowerBuilder,** missing tag **,** missing standard **
6052,Global function naming convention,PowerBuilder,** missing tag **,** missing standard **
6054,Menu naming convention,PowerBuilder,** missing tag **,** missing standard **
6056,Structure naming convention,PowerBuilder,** missing tag **,** missing standard **
6062,Window naming convention,PowerBuilder,** missing tag **,** missing standard **
6066,Global variable naming convention,PowerBuilder,** missing tag **,** missing standard **
6068,Instance variable naming convention,PowerBuilder,** missing tag **,** missing standard **
6070,User event naming convention,PowerBuilder,** missing tag **,** missing standard **
6072,Method naming convention,PowerBuilder,** missing tag **,** missing standard **
6076,Avoid Datawindows that does not access a database data,PowerBuilder,** missing tag **,** missing standard **
6078,Avoid Datawindows accessing Database Procedures or Functions,PowerBuilder,** missing tag **,** missing standard **
6082,Avoid PB Function/Event/Method accessing Database Procedures or Functions,PowerBuilder,** missing tag **,** missing standard **
6084,Avoid having unreferenced code,PowerBuilder,** missing tag **,** missing standard **
6102,Avoid undocumented Events,PowerBuilder,** missing tag **,** missing standard **
6104,Avoid events with a very low comment/code ratio,PowerBuilder,** missing tag **,** missing standard **
6106,User event naming convention - declare only,PowerBuilder,** missing tag **,** missing standard **
6110,Controls must inherit from a userobject,PowerBuilder,** missing tag **,** missing standard **
6112,Avoid using global variables,PowerBuilder,** missing tag **,** missing standard **
6114,Avoid using global functions,PowerBuilder,** missing tag **,** missing standard **
6124,Datawindows accessing database must be based on procedure,PowerBuilder,** missing tag **,** missing standard **
6126,Avoid using dynamic SQL in scripts,PowerBuilder,** missing tag **,** missing standard **
6128,Avoid window with too high level of inheritance,PowerBuilder,** missing tag **,** missing standard **
6130,Avoid userobject with too high level of inheritance,PowerBuilder,** missing tag **,** missing standard **
6132,Avoid overriding event,PowerBuilder,** missing tag **,** missing standard **
6134,Avoid menu with too high level of inheritance,PowerBuilder,** missing tag **,** missing standard **
6142,Avoid Windows with too many Methods,PowerBuilder,** missing tag **,** missing standard **
6144,Avoid Userobject with too many Methods,PowerBuilder,** missing tag **,** missing standard **
6150,"Avoid Menus, UserObjects and Windows that have no inheritance relations with other objects",PowerBuilder,** missing tag **,** missing standard **
6162,Avoid Artifacts with High integration complexity,PowerBuilder,** missing tag **,** missing standard **
6184,Avoid Artifacts with Subqueries,PowerBuilder,** missing tag **,** missing standard **
6194,Avoid Artifacts with lines of more than 80 characters,PowerBuilder,** missing tag **,** missing standard **
6584,View naming convention - name size control,DB2 Server,** missing tag **,** missing standard **
6586,Table naming convention - name size control,DB2 Server,** missing tag **,** missing standard **
6588,View naming convention - character set control,DB2 Server,** missing tag **,** missing standard **
6590,Table naming convention - character set control,DB2 Server,** missing tag **,** missing standard **
7050,Function naming convention,ABAP,** missing tag **,** missing standard **
7054,Avoid large Programs - too many Lines of Code,ABAP,** missing tag **,** missing standard **
7056,Avoid Programs/Includes including large Includes,ABAP,** missing tag **,** missing standard **
7058,Avoid Programs with too many includes,ABAP,** missing tag **,** missing standard **
7060,Avoid undocumented Programs,ABAP,** missing tag **,** missing standard **
7062,Avoid undocumented Includes,ABAP,** missing tag **,** missing standard **
7066,Avoid Programs with low comment/code ratio,ABAP,** missing tag **,** missing standard **
7068,Avoid Includes with low comment/code ratio,ABAP,** missing tag **,** missing standard **
7072,Program naming convention,ABAP,** missing tag **,** missing standard **
7074,Include naming convention,ABAP,** missing tag **,** missing standard **
7076,Avoid Programs/Includes with too many Forms,ABAP,** missing tag **,** missing standard **
7082,Avoid Function pools with more than 20 functions,ABAP,** missing tag **,** missing standard **
7088,Processing Screen Naming Convention,ABAP,** missing tag **,** missing standard **
7092,Avoid Include Circular references,ABAP,** missing tag **,** missing standard **
7094,Avoid Programs with more than 3 levels of inclusion,ABAP,** missing tag **,** missing standard **
7126,Avoid Artifacts with high Commented-out Code Lines/Code Lines ratio,ALL TECHNOLOGIES,ASCMM-MNT-6,CISQ
7130,Avoid Artifacts with High Depth of Nested Subqueries,ALL TECHNOLOGIES,A3-2013,OWASP
7130,Avoid Artifacts with High Depth of Nested Subqueries,ALL TECHNOLOGIES,ASCPEM-PRF-4,CISQ
7132,Action Mappings should have few forwards,JEE,** missing tag **,** missing standard **
7134,Avoid having local forward with same name as global forward,JEE,** missing tag **,** missing standard **
7136,Each method in an Action Class should have a small complexity,JEE,** missing tag **,** missing standard **
7138,Action Classes should only be called by Action Mappings tag (for Struts 1.x) or Action tag (for Struts 2.x),JEE,** missing tag **,** missing standard **
7140,Action Artifacts should not directly call a JSP page,JEE,** missing tag **,** missing standard **
7142,Action Classes should have only one public method,JEE,** missing tag **,** missing standard **
7144,Action Artifacts should not directly use database objects,JEE,** missing tag **,** missing standard **
7146,JSP pages should only reference Java Objects associated to J2EE Scoped Bean,JEE,** missing tag **,** missing standard **
7148,JSP pages should always be accessed through their tiles definition,JEE,** missing tag **,** missing standard **
7150,Favor PreparedStatement or CallableStatement over Statement,JEE,** missing tag **,** missing standard **
7152,Avoid Fields in Servlet Classes that are not final static,JEE,** missing tag **,** missing standard **
7154,Avoid Fields in Action Classes that are not final static,JEE,** missing tag **,** missing standard **
7156,Avoid Too Many Copy Pasted Artifacts,ALL TECHNOLOGIES,ASCMM-MNT-19,CISQ
7188,Private fields must have JavaDoc Comments,JEE,** missing tag **,** missing standard **
7190,Validator form validate() Method must call super.validate(),JEE,CWE-103,CWE
7192,Form Bean must extend Validator Class,JEE,** missing tag **,** missing standard **
7194,Avoid large number of String concatenation,"C#, etc.",** missing tag **,** missing standard **
7196,Avoid large number of String concatenation,JEE,** missing tag **,** missing standard **
7198,Avoid String concatenation in loops,"C#, etc.",ASCPEM-PRF-2,CISQ
7200,Avoid String concatenation in loops,JEE,ASCPEM-PRF-8,CISQ
7202,Check usage of '==' and '!=' on objects,JEE,** missing tag **,** missing standard **
7204,Avoid method invocation in a loop termination expression,ALL TECHNOLOGIES,ASCPEM-PRF-8,CISQ
7206,Avoid the use of InstanceOf inside loops,JEE,ASCPEM-PRF-8,CISQ
7208,Avoid the use of is inside loops,"C#, etc.",** missing tag **,** missing standard **
7210,Avoid instantiations inside loops,JEE,ASCPEM-PRF-8,CISQ
7212,Avoid instantiations inside loops,"C#, etc.",ASCPEM-PRF-8,CISQ
7218,Avoid OPEN/CLOSE inside loops,Cobol,** missing tag **,** missing standard **
7220,Avoid Unused Imports,JEE,** missing tag **,** missing standard **
7234,EVALUATE statements must be closed by END-EVALUATE,Cobol,** missing tag **,** missing standard **
7236,Avoid recursive calls with PERFORM statements,Cobol,** missing tag **,** missing standard **
7238,Avoid calls between JSP Pages,JEE,** missing tag **,** missing standard **
7240,Action Classes should only call Business Classes,JEE,** missing tag **,** missing standard **
7242,Avoid implementing Action Classes inheriting directly from Struts Action,JEE,** missing tag **,** missing standard **
7244,Avoid direct usage of EJB Entity from the client,JEE,** missing tag **,** missing standard **
7246,Avoid Packages with High Efferent Coupling (CE),JEE,** missing tag **,** missing standard **
7248,Avoid Packages with High Afferent Coupling (CA),JEE,** missing tag **,** missing standard **
7250,Avoid String initialization with String object (created using the 'new' keyword),JEE,** missing tag **,** missing standard **
7252,"Call 'super.finalize ()' in the ""finally"" block of 'finalize ()' methods",JEE,** missing tag **,** missing standard **
7254,Declare as Static all methods not using instance members,JEE,** missing tag **,** missing standard **
7256,Provide a private default Constructor for utility Classes,JEE,** missing tag **,** missing standard **
7258,DataReader must be called using CommandBehavior.CloseConnection enumeration,"C#, etc.",** missing tag **,** missing standard **
7260,User Interface elements must not use directly the database,"C#, etc.",** missing tag **,** missing standard **
7262,Avoid Namespaces with High Efferent Coupling (CE),"C#, etc.",** missing tag **,** missing standard **
7264,Avoid namespaces with High Afferent Coupling (CA),"C#, etc.",** missing tag **,** missing standard **
7266,"Call 'base.Dispose()' or 'MyBase.Finalize()' in the ""finally"" block of 'Dispose(bool)' methods","C#, etc.",** missing tag **,** missing standard **
7268,Dispose() methods should call GC.SuppressFinalize,"C#, etc.",** missing tag **,** missing standard **
7270,Declare as Static all methods not using instance members,"C#, etc.",** missing tag **,** missing standard **
7272,Provide a private default Constructor for utility Classes,"C#, etc.",** missing tag **,** missing standard **
7274,Avoid GOTO jumps out of PERFORM range,Cobol,** missing tag **,** missing standard **
7288,Avoid cyclic calls with PERFORM statements,Cobol,** missing tag **,** missing standard **
7290,Avoid unreferenced Sections and Paragraphs,Cobol,** missing tag **,** missing standard **
7292,Avoid cyclical calls and inheritances between packages,JEE,ASCMM-MNT-13,CISQ
7292,Avoid cyclical calls and inheritances between packages,JEE,ASCMM-MNT-7,CISQ
7294,Avoid cyclical calls and inheritances between namespaces content,"C#, etc.",ASCMM-MNT-7,CISQ
7294,Avoid cyclical calls and inheritances between namespaces content,"C#, etc.",ASCRM-RLB-13,CISQ
7296,Never define static variables in header files,"C++, etc.",** missing tag **,** missing standard **
7300,Avoid large Paragraphs - too many Lines of Code,Cobol,** missing tag **,** missing standard **
7302,Avoid using Pointers,Cobol,** missing tag **,** missing standard **
7304,IF statements must be closed by END-IF,Cobol,** missing tag **,** missing standard **
7306,Avoid declaring Inner Classes,JEE,** missing tag **,** missing standard **
7308,Avoid using Inner Classes,JEE,** missing tag **,** missing standard **
7340,Avoid Classes with Destructor not explicitly virtual whenever one of its base Class has a virtual Destructor,"C++, etc.",** missing tag **,** missing standard **
7342,Avoid functions overriding virtual functions without having the 'virtual' keyword,C++,** missing tag **,** missing standard **
7344,"Avoid ""SELECT *"" queries",ALL TECHNOLOGIES,** missing tag **,** missing standard **
7346,Avoid redundant indexes,ALL TECHNOLOGIES,** missing tag **,** missing standard **
7348,Avoid too many Indexes on one Table,ALL TECHNOLOGIES,** missing tag **,** missing standard **
7350,Avoid Tables having Indexes with a too large Index definition,ALL TECHNOLOGIES,** missing tag **,** missing standard **
7352,Avoid calling properties that clone values in loops,"C#, etc.",** missing tag **,** missing standard **
7358,Avoid call to AcceptChanges in a loop,"C#, etc.",** missing tag **,** missing standard **
